study_id,kernel,boundary_pixels,white_boundary_pixels,white_boundary_pct
48_01,0,512,254,49.609375
48_01,5,492,91,18.495934959349594
48_01,9,470,0,0.0
48_01,10,464,0,0.0
48_02,0,1455,556,38.213058419243985
48_02,5,1427,389,27.259985984583043
48_02,9,1399,9,0.6433166547533953
48_02,10,1391,9,0.6470165348670022
49_01,0,607,375,61.779242174629324
49_01,5,585,132,22.564102564102566
49_01,9,562,0,0.0
49_01,10,557,0,0.0
50_01,0,953,555,58.23714585519412
50_01,5,912,182,19.95614035087719
50_01,9,873,4,0.4581901489117984
50_01,10,860,4,0.46511627906976744
51_01,0,461,299,64.8590021691974
51_01,5,439,82,18.678815489749432
51_01,9,416,0,0.0
51_01,10,410,0,0.0
52_01,0,950,631,66.42105263157895
52_01,5,926,175,18.898488120950326
52_01,9,905,6,0.6629834254143646
52_01,10,900,6,0.6666666666666666
52_02,0,661,352,53.25264750378215
52_02,5,634,167,26.34069400630915
52_02,9,616,7,1.1363636363636365
52_02,10,611,7,1.1456628477905073
52_03,0,781,482,61.7157490396927
52_03,5,754,131,17.374005305039788
52_03,9,726,0,0.0
52_03,10,718,0,0.0
53_01,0,740,288,38.91891891891892
53_01,5,707,162,22.913719943422915
53_01,9,674,0,0.0
53_01,10,666,0,0.0
53_02,0,519,191,36.80154142581888
53_02,5,487,118,24.229979466119097
53_02,9,459,0,0.0
53_02,10,450,0,0.0
53_03,0,857,459,53.55892648774796
53_03,5,837,288,34.40860215053763
53_03,9,818,0,0.0
53_03,10,814,0,0.0
54_01,0,514,330,64.2023346303502
54_01,5,491,63,12.830957230142566
54_01,9,471,0,0.0
54_01,10,465,0,0.0
54_02,0,693,332,47.907647907647906
54_02,5,636,154,24.21383647798742
54_02,9,591,14,2.3688663282571913
54_02,10,583,14,2.4013722126929675
55_01,0,964,554,57.468879668049794
55_01,5,936,183,19.55128205128205
55_01,9,909,5,0.5500550055005501
55_01,10,902,5,0.5543237250554324
55_02,0,305,152,49.83606557377049
55_02,5,282,69,24.46808510638298
55_02,9,260,0,0.0
55_02,10,253,0,0.0
55_03,0,802,431,53.74064837905237
55_03,5,780,198,25.384615384615383
55_03,9,755,0,0.0
55_03,10,749,0,0.0
56_01,0,874,350,40.045766590389015
56_01,5,852,205,24.061032863849764
56_01,9,834,0,0.0
56_01,10,829,0,0.0
56_02,0,1469,812,55.27569775357386
56_02,5,1442,283,19.625520110957005
56_02,9,1418,13,0.9167842031029619
56_02,10,1412,13,0.9206798866855525
56_03,0,757,400,52.84015852047556
56_03,5,730,166,22.73972602739726
56_03,9,705,9,1.2765957446808511
56_03,10,699,9,1.2875536480686696
